s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
-0.0236087449627881,-0.0016368856369695,-0.0014343969411531,-0.0015337156474951,-0.6082401164098207,0.7745659866544099,0.0013461142435582,0.0014354030888428,-0.0014343969411531,-0.0015337156474951,-0.0236087449627881,-0.0016368856369695,0.0013461142435582,0.0014354030888428,-0.6082401164098207,0.7745659866544099,-0.6082401164098207,0.7745659866544099,0.0013461142435582,0.0014354030888428,-0.0236087449627881,-0.0016368856369695,-0.0014343969411531,-0.0015337156474951,0.0013461142435582,0.0014354030888428,-0.6082401164098207,0.7745659866544099,-0.0014343969411531,-0.0015337156474951,-0.0236087449627881,-0.0016368856369695,1.5
-0.0236058272264074,-0.001612737299657,-0.0014474549395782,-0.0015237970971732,-0.6007799282752508,0.780376605202759,0.0013583390691532,0.0014262853291157,-0.0014474549395782,-0.0015237970971732,-0.0236058272264074,-0.001612737299657,0.0013583390691532,0.0014262853291157,-0.6007799282752508,0.780376605202759,-0.6007799282752508,0.780376605202759,0.0013583390691532,0.0014262853291157,-0.0236058272264074,-0.001612737299657,-0.0014474549395782,-0.0015237970971732,0.0013583390691532,0.0014262853291157,-0.6007799282752508,0.780376605202759,-0.0014474549395782,-0.0015237970971732,-0.0236058272264074,-0.001612737299657,1.5001
-0.0236024605556141,-0.0015887218897812,-0.0014604501749183,-0.0015137807057836,-0.5932652837364537,0.7861145835227314,0.0013705088186227,0.0014170764894087,-0.0014604501749183,-0.0015137807057836,-0.0236024605556141,-0.0015887218897812,0.0013705088186227,0.0014170764894087,-0.5932652837364537,0.7861145835227314,-0.5932652837364537,0.7861145835227314,0.0013705088186227,0.0014170764894087,-0.0236024605556141,-0.0015887218897812,-0.0014604501749183,-0.0015137807057836,0.0013705088186227,0.0014170764894087,-0.5932652837364537,0.7861145835227314,-0.0014604501749183,-0.0015137807057836,-0.0236024605556141,-0.0015887218897812,1.5002
-0.0235986485389055,-0.0015648477325185,-0.0014733820741792,-0.0015036666971099,-0.5856968968486496,0.7917794218350025,0.0013826229695534,0.0014077767179126,-0.0014733820741792,-0.0015036666971099,-0.0235986485389055,-0.0015648477325185,0.0013826229695534,0.0014077767179126,-0.5856968968486496,0.7917794218350025,-0.5856968968486496,0.7917794218350025,0.0013826229695534,0.0014077767179126,-0.0235986485389055,-0.0015648477325185,-0.0014733820741792,-0.0015036666971099,0.0013826229695534,0.0014077767179126,-0.5856968968486496,0.7917794218350025,-0.0014733820741792,-0.0015036666971099,-0.0235986485389055,-0.0015648477325185,1.5003
-0.0235943950069487,-0.0015411230709491,-0.0014862500382979,-0.0014934552867242,-0.5780754860837086,0.7973706274643055,0.0013946809839634,0.0013983861587843,-0.0014862500382979,-0.0014934552867242,-0.0235943950069487,-0.0015411230709491,0.0013946809839634,0.0013983861587843,-0.5780754860837086,0.7973706274643055,-0.5780754860837086,0.7973706274643055,0.0013946809839634,0.0013983861587843,-0.0235943950069487,-0.0015411230709491,-0.0014862500382979,-0.0014934552867242,0.0013946809839634,0.0013983861587843,-0.5780754860837086,0.7973706274643055,-0.0014862500382979,-0.0014934552867242,-0.0235943950069487,-0.0015411230709491,1.5004
-0.0235897038564728,-0.0015175560688673,-0.0014990534731464,-0.0014831466952796,-0.5704017743763424,0.8028877147973328,0.0014066823031142,0.0013889049510701,-0.0014990534731464,-0.0014831466952796,-0.0235897038564728,-0.0015175560688673,0.0014066823031142,0.0013889049510701,-0.5704017743763424,0.8028877147973328,-0.5704017743763424,0.8028877147973328,0.0014066823031142,0.0013889049510701,-0.0235897038564728,-0.0015175560688673,-0.0014990534731464,-0.0014831466952796,0.0014066823031142,0.0013889049510701,-0.5704017743763424,0.8028877147973328,-0.0014990534731464,-0.0014831466952796,-0.0235897038564728,-0.0015175560688673,1.5005
-0.0235845791648129,-0.0014941548040819,-0.0015117917833604,-0.0014727411457804,-0.5626764889966805,0.8083302054094275,0.0014186264003181,0.0013793332488095,-0.0015117917833604,-0.0014727411457804,-0.0235845791648129,-0.0014941548040819,0.0014186264003181,0.0013793332488095,-0.5626764889966805,0.8083302054094275,-0.5626764889966805,0.8083302054094275,0.0014186264003181,0.0013793332488095,-0.0235845791648129,-0.0014941548040819,-0.0015117917833604,-0.0014727411457804,0.0014186264003181,0.0013793332488095,-0.5626764889966805,0.8083302054094275,-0.0015117917833604,-0.0014727411457804,-0.0235845791648129,-0.0014941548040819,1.5006
-0.0235790251591894,-0.0014709272665613,-0.0015244643679008,-0.0014622388620427,-0.554900361398422,0.8136976279171605,0.0014305127095387,0.0013696711940014,-0.0015244643679008,-0.0014622388620427,-0.0235790251591894,-0.0014709272665613,0.0014305127095387,0.0013696711940014,-0.554900361398422,0.8136976279171605,-0.554900361398422,0.8136976279171605,0.0014305127095387,0.0013696711940014,-0.0235790251591894,-0.0014709272665613,-0.0015244643679008,-0.0014622388620427,0.0014305127095387,0.0013696711940014,-0.554900361398422,0.8136976279171605,-0.0015244643679008,-0.0014622388620427,-0.0235790251591894,-0.0014709272665613,1.5007
-0.0235730462441188,-0.0014478813549137,-0.0015370706219221,-0.001451640069541,-0.547074127346319,0.8189895183999326,0.0014423406738946,0.0013599189352245,-0.0015370706219221,-0.001451640069541,-0.0235730462441188,-0.0014478813549137,0.0014423406738946,0.0013599189352245,-0.547074127346319,0.8189895183999326,-0.547074127346319,0.8189895183999326,0.0014423406738946,0.0013599189352245,-0.0235730462441188,-0.0014478813549137,-0.0015370706219221,-0.001451640069541,0.0014423406738946,0.0013599189352245,-0.547074127346319,0.8189895183999326,-0.0015370706219221,-0.001451640069541,-0.0235730462441188,-0.0014478813549137,1.5008
-0.0235666468535728,-0.0014250248773047,-0.0015496099312257,-0.0014409449938396,-0.5391985266588463,0.8242054198821359,0.0014541097500459,0.0013500766290156,-0.0015496099312257,-0.0014409449938396,-0.0235666468535728,-0.0014250248773047,0.0014541097500459,0.0013500766290156,-0.5391985266588463,0.8242054198821359,-0.5391985266588463,0.8242054198821359,0.0014541097500459,0.0013500766290156,-0.0235666468535728,-0.0014250248773047,-0.0015496099312257,-0.0014409449938396,0.0014541097500459,0.0013500766290156,-0.5391985266588463,0.8242054198821359,-0.0015496099312257,-0.0014409449938396,-0.0235666468535728,-0.0014250248773047,1.5009
