wavelength (nm),refractive index
1.20036,3.523490658
1.20312,3.522970144
1.2059,3.522451962
1.20868,3.521936989
1.21146,3.521424661
1.21425,3.520914841
1.21705,3.520408321
1.21986,3.519904137
1.22267,3.519402594
1.22549,3.518904084
1.22832,3.518407934
1.23115,3.517914478
1.23398,3.517423597
1.23683,3.51693549
1.23968,3.516449898
1.24254,3.515966854
1.2454,3.515486531
1.24827,3.515008369
1.25115,3.514533192
1.25404,3.514060111
1.25693,3.513590012
1.25982,3.513121712
1.26273,3.512656501
1.26564,3.51219349
1.26856,3.511732955
1.27148,3.511274463
1.27441,3.510818773
1.27735,3.510365514
1.28029,3.509914559
1.28325,3.509465848
1.2862,3.509019897
1.28917,3.50857577
1.29214,3.508134011
1.29512,3.50769477
1.29811,3.507257949
1.3011,3.506822938
1.3041,3.506390375
1.3071,3.505960112
1.31012,3.505532027
1.31314,3.505105966
1.31616,3.504682586
1.3192,3.504261467
1.32224,3.503841993
1.32529,3.503424775
1.32834,3.503010185
1.3314,3.502597173
1.33447,3.502186648
1.33755,3.501778191
1.34063,3.501371556
1.34372,3.500967444
1.34682,3.500565245
1.34993,3.500165149
1.35304,3.499766956
1.35616,3.499371025
1.35928,3.498976697
1.36242,3.498584727
1.36556,3.498194724
1.36871,3.497806922
1.37186,3.497421018
1.37502,3.497036861
1.37819,3.496654442
1.38137,3.496274552
1.38455,3.495896464
1.38775,3.49552023
1.39094,3.495145854
1.39415,3.49477315
1.39737,3.494402657
1.40059,3.494034081
1.40382,3.493667389
1.40705,3.493302404
1.41029,3.492939494
1.41355,3.492578369
1.4168,3.492219007
1.42007,3.491861171
1.42334,3.491505533
1.42663,3.491151769
1.42991,3.490799408
1.43321,3.49044914
1.43651,3.49010069
1.43983,3.489753707
1.44314,3.48940884
1.44647,3.489065401
1.44981,3.488723962
1.45315,3.488383712
1.4565,3.488045561
1.45986,3.487709543
1.46322,3.487374438
1.46659,3.48704147
1.46997,3.486710115
1.47336,3.486380348
1.47676,3.486052258
1.48016,3.485725928
1.48358,3.48540126
1.487,3.485077896
1.49042,3.484756197
1.49386,3.484436762
1.4973,3.484118264
1.50076,3.483801548
1.50421,3.483486279
1.50768,3.483172804
1.51116,3.482861089
1.51464,3.482550322
1.51813,3.48224172
1.52163,3.481934465
1.52514,3.481628545
1.52866,3.481324108
1.53218,3.48102189
1.53571,3.48072042
1.53925,3.480420901
1.5428,3.480122385
1.54636,3.479825639
1.54992,3.479530433
1.5535,3.479236646
1.55708,3.478944304
1.56067,3.478653409
1.56426,3.478364194
1.56787,3.478076048
1.57148,3.477789423
1.57511,3.477504242
1.57874,3.477220712
1.58238,3.476938462
1.58602,3.476657396
1.58968,3.476377883
1.59335,3.476099785
1.59702,3.475823322
1.6007,3.475547778
1.60439,3.47527386
1.60809,3.475001105
1.6118,3.474729664
1.61551,3.474459725
1.61923,3.474190983
1.62297,3.473923779
1.62671,3.473657895
1.63046,3.473393329
1.63422,3.47312959
1.63798,3.472867844
1.64176,3.472607075
1.64555,3.472347468
1.64934,3.472089173
1.65314,3.471832293
1.65695,3.471576822
1.66077,3.471322292
1.6646,3.471069143
1.66844,3.470816963
1.67228,3.470566669
1.67614,3.470316826
1.68,3.470068966
1.68388,3.469822082
1.68776,3.469575992
1.69165,3.469331419
1.69555,3.469088204
1.69946,3.468845923
1.70337,3.468605107
1.7073,3.468365235
1.71124,3.46812638
1.71518,3.467889158
1.71913,3.467652907
1.7231,3.467417696
1.72707,3.467183535
1.73105,3.466950685
1.73504,3.466719078
1.73904,3.46648869
1.74305,3.466259226
1.74707,3.466030921
1.7511,3.465803478
1.75513,3.46557745
1.75918,3.46535253
1.76323,3.465128726
1.7673,3.464905717
