s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0156073790295075,0.0006251145626037,0.229746525636981,-0.9675354699423604,0.229746525636981,-0.9675354699423604,-0.0156073790295075,0.0006251145626037,1.26
-0.0155389301590549,0.0005119656403249,0.1717838840143126,-0.9794947848624128,0.1717838840143126,-0.9794947848624128,-0.0155389301590549,0.0005119656403249,1.2601
-0.015478902765935,0.0003914922561914,0.1132217547757658,-0.9879836087553826,0.1132217547757658,-0.9879836087553826,-0.015478902765935,0.0003914922561914,1.2602
-0.0154280901035899,0.0002644425789553,0.0542677756420554,-0.9929735461665732,0.0542677756420554,-0.9929735461665732,-0.0154280901035899,0.0002644425789553,1.2603
-0.0153872107247096,0.0001316509655341,-0.0048691933459708,-0.9944486135457256,-0.0048691933459708,-0.9944486135457256,-0.0153872107247096,0.0001316509655341,1.2604
-0.0153568991478788,-5.970094014555123e-06,-0.0639798111631989,-0.9924052823555416,-0.0639798111631989,-0.9924052823555416,-0.0153568991478788,-5.970094014555123e-06,1.2605
-0.0153376974307544,-0.0001474390528461,-0.1228549980147029,-0.9868524779370472,-0.1228549980147029,-0.9868524779370472,-0.0153376974307544,-0.0001474390528461,1.2606
-0.0153300477632065,-0.0002917152583956,-0.181286675436997,-0.9778115341109596,-0.181286675436997,-0.9778115341109596,-0.0153300477632065,-0.0002917152583956,1.2607
-0.0153342861703907,-0.0004377096983973,-0.2390685019365858,-0.965316103811352,-0.2390685019365858,-0.965316103811352,-0.0153342861703907,-0.0004377096983973,1.2608
-0.0153506374077418,-0.0005842964210423,-0.2959966015450233,-0.9494120260314528,-0.2959966015450233,-0.9494120260314528,-0.0153506374077418,-0.0005842964210423,1.2609
-0.0153792111184857,-0.0007303244379213,-0.3518702823230265,-0.9301571498051188,-0.3518702823230265,-0.9301571498051188,-0.0153792111184857,-0.0007303244379213,1.261
-0.0154199993020216,-0.0008746300514155,-0.4064927428051675,-0.9076211156931344,-0.4064927428051675,-0.9076211156931344,-0.0154199993020216,-0.0008746300514155,1.2611
-0.0154728751306433,-0.0010160493763054,-0.4596717633302321,-0.8818850958819059,-0.4596717633302321,-0.8818850958819059,-0.0154728751306433,-0.0010160493763054,1.2612
-0.0155375931320147,-0.0011534309858683,-0.5112203803222426,-0.8530414936461235,-0.5112203803222426,-0.8530414936461235,-0.0155375931320147,-0.0011534309858683,1.2613
-0.0156137907453262,-0.001285648459937,-0.5609575406686301,-0.8211936035539065,-0.5609575406686301,-0.8211936035539065,-0.0156137907453262,-0.001285648459937,1.2614
-0.0157009912308905,-0.0014116127349696,-0.6087087342618392,-0.7864552335811582,-0.6087087342618392,-0.7864552335811582,-0.0157009912308905,-0.0014116127349696,1.2615
-0.015798607907379,-0.0015302840914604,-0.6543066023006219,-0.7489502905486521,-0.6543066023006219,-0.7489502905486521,-0.015798607907379,-0.0015302840914604,1.2616
-0.0159059496684917,-0.0016406836142985,-0.6975915192110842,-0.708812330621989,-0.6975915192110842,-0.708812330621989,-0.0159059496684917,-0.0016406836142985,1.2617
-0.0160222277160836,-0.0017419040457181,-0.7384121464120016,-0.666184076222912,-0.7384121464120016,-0.666184076222912,-0.0160222277160836,-0.0017419040457181,1.2618
-0.0161465634349776,-0.0018331198205096,-0.7766259556153318,-0.6212169015729223,-0.7766259556153318,-0.6212169015729223,-0.0161465634349776,-0.0018331198205096,1.2619
-0.0162779973172715,-0.0019135962401398,-0.8120997203045275,-0.5740702883941756,-0.8120997203045275,-0.5740702883941756,-0.0162779973172715,-0.0019135962401398,1.262
-0.016415498833077,-0.0019826976192411,-0.8447099733916872,-0.5249112540475469,-0.8447099733916872,-0.5249112540475469,-0.016415498833077,-0.0019826976192411,1.2621
-0.0165579771295161,-0.0020398943475696,-0.8743434297469163,-0.4739137539969016,-0.8743434297469163,-0.4739137539969016,-0.0165579771295161,-0.0020398943475696,1.2622
-0.0167042924404582,-0.0020847687430792,-0.9008973719830764,-0.4212580610002689,-0.9008973719830764,-0.4212580610002689,-0.0167042924404582,-0.0020847687430792,1.2623
