wavelength (nm),refractive index
192.181824,1.568052
193.777939,1.565556
195.3741,1.56315
196.970306,1.560828
198.566559,1.558587
200.162872,1.556423
201.759201,1.554331
203.355591,1.552309
204.952026,1.550353
206.548492,1.548461
208.14502,1.546628
209.741577,1.544853
211.338181,1.543134
212.934814,1.541467
214.531494,1.53985
216.12822,1.538283
217.724976,1.536761
219.321777,1.535283
220.918625,1.533849
222.515503,1.532455
224.112427,1.5311
225.709381,1.529783
227.306366,1.528503
228.903397,1.527257
230.500458,1.526044
232.097565,1.524864
233.694702,1.523715
235.29187,1.522596
236.889069,1.521506
238.486298,1.520444
240.083588,1.519408
241.680878,1.518399
243.278229,1.517413
244.87561,1.516453
246.472992,1.515516
248.070435,1.514601
249.667923,1.513709
251.265411,1.512836
252.862946,1.511985
254.460495,1.511153
256.058075,1.510341
257.655701,1.509546
259.253357,1.50877
260.851013,1.508011
262.4487,1.507269
264.046448,1.506543
265.644196,1.505833
267.241974,1.505138
268.839783,1.504457
270.437592,1.503792
272.035461,1.50314
273.633331,1.502502
275.231232,1.501877
276.829163,1.501265
278.427124,1.500665
280.025085,1.500078
281.623077,1.499503
283.2211,1.498938
284.819153,1.498385
286.417175,1.497843
288.015289,1.497311
289.613373,1.496789
291.211487,1.496277
292.809631,1.495776
294.407776,1.495283
296.005951,1.494799
297.604156,1.494325
299.202362,1.49386
300.800598,1.493402
302.398834,1.492954
303.997101,1.492513
305.595367,1.492081
307.193665,1.491656
308.791962,1.491238
310.390289,1.490828
311.988617,1.490424
313.586975,1.490029
315.185333,1.489639
316.783691,1.489257
318.38208,1.48888
319.980469,1.48851
321.578888,1.488146
323.177307,1.487789
324.775726,1.487437
326.374176,1.487092
327.972595,1.486751
329.571075,1.486416
331.169525,1.486087
332.768005,1.485762
334.366486,1.485443
335.964966,1.485129
337.563477,1.48482
339.161957,1.484516
340.760468,1.484216
342.358978,1.483921
343.957489,1.483631
345.55603,1.483345
347.154572,1.483063
348.753082,1.482786
350.351624,1.482512
351.950134,1.482243
353.548676,1.481978
355.147247,1.481717
356.745789,1.481459
358.344299,1.481205
359.942871,1.480955
361.541412,1.480708
363.139954,1.480466
364.738495,1.480226
366.337036,1.47999
367.935577,1.479756
369.534119,1.479528
371.132629,1.479301
372.731171,1.479077
374.329712,1.478857
375.928223,1.47864
377.526764,1.478426
379.125275,1.478214
380.723785,1.478005
382.322296,1.4778
383.920776,1.477597
385.519287,1.477396
387.117767,1.477198
388.716248,1.477003
390.314728,1.47681
391.913177,1.47662
393.511627,1.476432
395.110077,1.476246
396.708527,1.476064
398.306946,1.475883
399.905334,1.475704
401.503754,1.475528
403.102142,1.475354
404.700531,1.475182
406.298889,1.475013
407.897278,1.474845
409.495605,1.47468
411.093933,1.474516
412.69223,1.474355
414.290527,1.474194
415.888824,1.474036
417.487122,1.473881
419.085358,1.473727
420.683594,1.473574
422.28183,1.473424
423.880035,1.473276
425.47821,1.473129
427.076416,1.472983
428.674561,1.472839
430.272705,1.472697
431.870789,1.472557
433.468903,1.472418
435.066956,1.472281
436.665039,1.472145
438.263031,1.472011
439.861084,1.471878
441.459045,1.471747
443.057037,1.471617
444.654968,1.471489
446.252869,1.471362
447.850769,1.471236
449.448669,1.471112
451.046539,1.470989
452.644348,1.470867
454.242126,1.470747
455.839905,1.470628
457.437653,1.47051
459.035339,1.470393
460.633057,1.470278
462.230713,1.470164
463.828369,1.470051
465.425964,1.469939
467.023529,1.469828
468.621094,1.469718
470.218597,1.46961
471.816101,1.469503
473.413574,1.469396
475.010986,1.469291
476.608398,1.469187
478.20575,1.469084
479.80307,1.468981
481.400391,1.46888
482.99765,1.46878
484.59491,1.468681
486.192078,1.468582
487.789246,1.468485
489.386383,1.468389
490.98349,1.468293
492.580505,1.468199
494.177551,1.468105
495.774567,1.468012
497.37149,1.467921
498.968414,1.46783
500.565277,1.467739
502.162109,1.467649
503.758881,1.467561
505.355652,1.467473
506.952332,1.467386
508.549011,1.4673
510.14566,1.467215
511.742249,1.46713
513.338806,1.467046
514.935303,1.466963
516.531799,1.46688
518.128174,1.466799
519.724548,1.466718
521.320923,1.466637
522.917175,1.466558
524.513428,1.466479
526.109619,1.466401
527.705811,1.466323
529.30188,1.466246
530.897949,1.466169
532.494019,1.466094
534.089966,1.466018
535.685852,1.465944
537.281738,1.465871
538.877563,1.465798
540.473328,1.465725
542.069031,1.465653
543.664673,1.465582
545.260376,1.465511
546.855896,1.465441
548.451416,1.465371
550.046875,1.465302
551.642334,1.465233
553.237671,1.465165
